event_id,event_date,entity_id,source_system,event_type,severity,owner_team,impacted_metric,records_impacted,note
EVT00001,2026-01-01,ENT001,ERP,qa_failure,Low,Analytics,metric_certification,21231,industrial portfolio margin signal 1
EVT00002,2026-01-02,ENT002,CRM,manual_override,Medium,Analytics,automation_savings,56888,industrial portfolio margin signal 2
EVT00003,2026-01-03,ENT003,Sigma workbook,refresh_delay,Medium,Sales,metric_certification,51850,industrial portfolio margin signal 3
EVT00004,2026-01-04,ENT004,Data warehouse,definition_change,Critical,Analytics,automation_savings,35108,industrial portfolio margin signal 4
EVT00005,2026-01-05,ENT005,CRM,refresh_delay,Low,Product,automation_savings,47106,industrial portfolio margin signal 5
EVT00006,2026-01-06,ENT006,ERP,definition_change,Low,Supply chain,launch_readiness,53376,industrial portfolio margin signal 6
EVT00007,2026-01-07,ENT007,Support notes,qa_failure,High,Sales,backlog_age,42386,industrial portfolio margin signal 7
EVT00008,2026-01-08,ENT008,Support notes,automation_run,High,Operations,metric_certification,61631,industrial portfolio margin signal 8
EVT00009,2026-01-09,ENT009,Sigma workbook,qa_failure,Critical,Product,backlog_age,43557,industrial portfolio margin signal 9
EVT00010,2026-01-10,ENT010,Notebook,release_review,Low,Product,gross_margin,11153,industrial portfolio margin signal 10
EVT00011,2026-01-11,ENT011,CRM,refresh_delay,Critical,Operations,launch_readiness,17215,industrial portfolio margin signal 11
EVT00012,2026-01-12,ENT012,Sigma workbook,definition_change,Medium,Sales,qa_defect_rate,9214,industrial portfolio margin signal 12
EVT00013,2026-01-13,ENT013,CRM,definition_change,Low,Sales,metric_certification,46835,industrial portfolio margin signal 13
EVT00014,2026-01-14,ENT014,Data warehouse,qa_failure,Medium,Sales,gross_margin,21344,industrial portfolio margin signal 14
EVT00015,2026-01-15,ENT015,ERP,refresh_delay,Critical,Operations,metric_certification,57325,industrial portfolio margin signal 15
EVT00016,2026-01-16,ENT016,Sigma workbook,definition_change,Critical,Sales,launch_readiness,18844,industrial portfolio margin signal 16
EVT00017,2026-01-17,ENT017,CRM,qa_failure,Medium,Supply chain,launch_readiness,13415,industrial portfolio margin signal 17
EVT00018,2026-01-18,ENT018,Data warehouse,definition_change,High,Quality,backlog_age,59313,industrial portfolio margin signal 18
EVT00019,2026-01-19,ENT019,Data warehouse,refresh_delay,Low,Quality,metric_certification,25389,industrial portfolio margin signal 19
EVT00020,2026-01-20,ENT020,CRM,qa_failure,Medium,Operations,automation_savings,51296,industrial portfolio margin signal 20
EVT00021,2026-01-21,ENT021,Sigma workbook,refresh_delay,Critical,Sales,metric_certification,59053,industrial portfolio margin signal 21
EVT00022,2026-01-22,ENT022,Support notes,refresh_delay,Critical,Supply chain,gross_margin,23278,industrial portfolio margin signal 22
EVT00023,2026-01-23,ENT023,Sigma workbook,release_review,High,Sales,backlog_age,15928,industrial portfolio margin signal 23
