concept_id,platform,concept_name,customer_problem,estimated_annual_value_k,investment_required_k,gate_score,payback_months,evidence_status,sales_enablement_need,launch_dependency
NPD001,Fluid control,Solenoid Valve Platform next generation option,"Reduce integration time, warranty friction, and field substitution risk",1260.5,780.4,84.2,8,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Pilot account feedback
NPD002,Fluid control,Solenoid Valve Platform next generation option,"Reduce integration time, warranty friction, and field substitution risk",824.7,504.8,83.0,8,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Pilot account feedback
NPD003,Motion control,Pneumatic Cylinder Range next generation option,"Reduce integration time, warranty friction, and field substitution risk",1066.9,596.6,81.2,7,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Pilot account feedback
NPD004,Fluid control,Solenoid Valve Platform next generation option,"Reduce integration time, warranty friction, and field substitution risk",737.9,628.2,81.0,11,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Pilot account feedback
NPD005,Valve automation,Actuator Accessory Kit next generation option,"Reduce integration time, warranty friction, and field substitution risk",2330.6,961.2,78.7,6,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Pilot account feedback
NPD006,Valve automation,Actuator Accessory Kit next generation option,"Reduce integration time, warranty friction, and field substitution risk",860.2,532.6,77.6,8,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Pilot account feedback
NPD007,Motion control,Pneumatic Cylinder Range next generation option,"Reduce integration time, warranty friction, and field substitution risk",636.6,446.6,75.8,9,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Pilot account feedback
NPD008,Fluid control,Solenoid Valve Platform next generation option,"Reduce integration time, warranty friction, and field substitution risk",1409.3,587.2,75.5,6,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Pilot account feedback
NPD009,Motion control,Pneumatic Cylinder Range next generation option,"Reduce integration time, warranty friction, and field substitution risk",574.8,297.5,75.5,7,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Pilot account feedback
NPD010,Valve automation,Actuator Accessory Kit next generation option,"Reduce integration time, warranty friction, and field substitution risk",983.8,405.4,74.4,6,Gate ready,"Competitive positioning, launch training, and distributor objection handling",Supplier qualification
